ID	ProteinID	Function 	Localization
11	Q08722	Adhesive protein that mediates cell-to-cell interactions (PubMed:11509594, PubMed:15383453). Acts as a receptor for thrombospondin THBS1 and as modulator of integrin signaling through the activation of heterotrimeric G proteins (PubMed:19004835, PubMed:7691831, PubMed:8550562). Involved in signal transduction, cardiovascular homeostasis, inflammation, apoptosis, angiogenesis, cellular self-renewal, and immunoregulation (PubMed:11509594, PubMed:15383453, PubMed:19004835, PubMed:27742621, PubMed:32679764, PubMed:7691831, PubMed:8550562). Plays a role in modulating pulmonary endothelin EDN1 signaling (PubMed:27742621). Modulates nitrous oxide (NO) signaling, in response to THBS1, hence playing a role as a pressor agent, supporting blood pressure (By similarity). Plays an important role in memory formation and synaptic plasticity in the hippocampus (By similarity). Receptor for SIRPA, binding to which prevents maturation of immature dendritic cells and inhibits cytokine production by mature dendritic cells (PubMed:11509594). Interaction with SIRPG mediates cell-cell adhesion, enhances superantigen-dependent T-cell-mediated proliferation and costimulates T-cell activation (PubMed:15383453). Positively modulates FAS-dependent apoptosis in T-cells, perhaps by enhancing FAS clustering (By similarity). Plays a role in suppressing angiogenesis and may be involved in metabolic dysregulation during normal aging (PubMed:32679764). In response to THBS1, negatively modulates wound healing (By similarity). Inhibits stem cell self-renewal, in response to THBS1, probably by regulation of the stem cell transcription factors POU5F1/OCT4, SOX2, MYC/c-Myc and KLF4 (By similarity). May play a role in membrane transport and/or integrin dependent signal transduction (PubMed:7691831). May prevent premature elimination of red blood cells (By similarity)	Cell membrane
12	P25106	Atypical chemokine receptor that controls chemokine levels and localization via high-affinity chemokine binding that is uncoupled from classic ligand-driven signal transduction cascades, resulting instead in chemokine sequestration, degradation, or transcytosis. Also known as interceptor (internalizing receptor) or chemokine-scavenging receptor or chemokine decoy receptor. Acts as a receptor for chemokines CXCL11 and CXCL12/SDF1 (PubMed:16107333, PubMed:19255243, PubMed:19380869, PubMed:20161793, PubMed:22300987). Chemokine binding does not activate G-protein-mediated signal transduction but instead induces beta-arrestin recruitment, leading to ligand internalization and activation of MAPK signaling pathway (PubMed:16940167, PubMed:18653785, PubMed:20018651). Required for regulation of CXCR4 protein levels in migrating interneurons, thereby adapting their chemokine responsiveness (PubMed:16940167, PubMed:18653785). In glioma cells, transduces signals via MEK/ERK pathway, mediating resistance to apoptosis. Promotes cell growth and survival (PubMed:16940167, PubMed:20388803). Not involved in cell migration, adhesion or proliferation of normal hematopoietic progenitors but activated by CXCL11 in malignant hemapoietic cells, leading to phosphorylation of ERK1/2 (MAPK3/MAPK1) and enhanced cell adhesion and migration (PubMed:17804806, PubMed:18653785, PubMed:19641136, PubMed:20887389). Plays a regulatory role in CXCR4-mediated activation of cell surface integrins by CXCL12 (PubMed:18653785). Required for heart valve development (PubMed:17804806). Regulates axon guidance in the oculomotor system through the regulation of CXCL12 levels (PubMed:31211835)	Cell membrane
13	Q9Y5S1	Calcium-permeable, non-selective cation channel with an outward rectification. Seems to be regulated, at least in part, by IGF1, PDGF and neuropeptide head activator. May transduce physical stimuli in mast cells. Activated by temperatures higher than 52 degrees Celsius; is not activated by vanilloids and acidic pH	Cell membrane
14	P23634	Calcium/calmodulin-regulated and magnesium-dependent enzyme that catalyzes the hydrolysis of ATP coupled with the transport of calcium out of the cell (PubMed:8530416). By regulating sperm cell calcium homeostasis, may play a role in sperm motility (By similarity)	Cell membrane
15	Q9NZM1	Calcium/phospholipid-binding protein that plays a role in the plasmalemma repair mechanism of endothelial cells that permits rapid resealing of membranes disrupted by mechanical stress. Involved in endocytic recycling. Implicated in VEGF signal transduction by regulating the levels of the receptor KDR (By similarity)	Cell membrane
16	O43306	Catalyzes the formation of the signaling molecule cAMP downstream of G protein-coupled receptors (PubMed:17110384, PubMed:17916776). Functions in signaling cascades downstream of beta-adrenergic receptors in the heart and in vascular smooth muscle cells (PubMed:17916776). Functions in signaling cascades downstream of the vasopressin receptor in the kidney and has a role in renal water reabsorption. Functions in signaling cascades downstream of PTH1R and plays a role in regulating renal phosphate excretion. Functions in signaling cascades downstream of the VIP and SCT receptors in pancreas and contributes to the regulation of pancreatic amylase and fluid secretion (By similarity). Signaling mediates cAMP-dependent activation of protein kinase PKA. This promotes increased phosphorylation of various proteins, including AKT. Plays a role in regulating cardiac sarcoplasmic reticulum Ca(2+) uptake and storage, and is required for normal heart ventricular contractibility. May contribute to normal heart function (By similarity). Mediates vasodilatation after activation of beta-adrenergic receptors by isoproterenol (PubMed:17916776). Contributes to bone cell responses to mechanical stimuli (By similarity)	Cell membrane
17	O15031	Cell surface receptor for SEMA4C, SEMA4D and SEMA4G that plays an important role in cell-cell signaling (By similarity). Plays a role in glutamatergic synapse development and is required for SEMA4A-mediated excitatory synapse development (By similarity). Binding to class 4 semaphorins promotes downstream activation of RHOA and phosphorylation of ERBB2 at 'Tyr-1248' (By similarity). Also acts as a cell surface receptor for angiogenin (ANG); promoting ANG endocytosis and translocation to the cytoplasm or nucleus (PubMed:29100074, PubMed:32510170). Required for normal differentiation and migration of neuronal cells during brain corticogenesis and for normal embryonic brain development (By similarity). Regulates the migration of cerebellar granule cells in the developing brain (By similarity). Plays a role in RHOA activation and subsequent changes of the actin cytoskeleton (PubMed:12183458). Plays a role in axon guidance, invasive growth and cell migration (PubMed:15184888). May modulate the activity of RAC1 and CDC42 (By similarity)	Cell membrane
18	P16070	Cell-surface receptor that plays a role in cell-cell interactions, cell adhesion and migration, helping them to sense and respond to changes in the tissue microenvironment (PubMed:16541107, PubMed:19703720, PubMed:22726066). Participates thereby in a wide variety of cellular functions including the activation, recirculation and homing of T-lymphocytes, hematopoiesis, inflammation and response to bacterial infection (PubMed:7528188). Engages, through its ectodomain, extracellular matrix components such as hyaluronan/HA, collagen, growth factors, cytokines or proteases and serves as a platform for signal transduction by assembling, via its cytoplasmic domain, protein complexes containing receptor kinases and membrane proteases (PubMed:18757307, PubMed:23589287). Such effectors include PKN2, the RhoGTPases RAC1 and RHOA, Rho-kinases and phospholipase C that coordinate signaling pathways promoting calcium mobilization and actin-mediated cytoskeleton reorganization essential for cell migration and adhesion (PubMed:15123640)	Cell membrane
19	Q96CW1	Component of the adaptor protein complex 2 (AP-2) (PubMed:12694563, PubMed:12952941, PubMed:14745134, PubMed:14985334, PubMed:15473838, PubMed:31104773). Adaptor protein complexes function in protein transport via transport vesicles in different membrane traffic pathways (PubMed:12694563, PubMed:12952941, PubMed:14745134, PubMed:14985334, PubMed:15473838, PubMed:31104773). Adaptor protein complexes are vesicle coat components and appear to be involved in cargo selection and vesicle formation (PubMed:12694563, PubMed:12952941, PubMed:14745134, PubMed:14985334, PubMed:15473838, PubMed:31104773). AP-2 is involved in clathrin-dependent endocytosis in which cargo proteins are incorporated into vesicles surrounded by clathrin (clathrin-coated vesicles, CCVs) which are destined for fusion with the early endosome (PubMed:12694563, PubMed:12952941, PubMed:14745134, PubMed:14985334, PubMed:15473838, PubMed:31104773). The clathrin lattice serves as a mechanical scaffold but is itself unable to bind directly to membrane components (PubMed:12694563, PubMed:12952941, PubMed:14745134, PubMed:14985334, PubMed:15473838, PubMed:31104773). Clathrin-associated adaptor protein (AP) complexes which can bind directly to both the clathrin lattice and to the lipid and protein components of membranes are considered to be the major clathrin adaptors contributing the CCV formation (PubMed:12694563, PubMed:12952941, PubMed:14745134, PubMed:14985334, PubMed:15473838, PubMed:31104773). AP-2 also serves as a cargo receptor to selectively sort the membrane proteins involved in receptor-mediated endocytosis (PubMed:16581796). AP-2 seems to play a role in the recycling of synaptic vesicle membranes from the presynaptic surface (PubMed:12694563, PubMed:12952941, PubMed:14745134, PubMed:14985334, PubMed:15473838, PubMed:31104773). AP-2 recognizes Y-X-X-[FILMV] (Y-X-X-Phi) and [ED]-X-X-X-L-[LI] endocytosis signal motifs within the cytosolic tails of transmembrane cargo molecules (By similarity). AP-2 may also play a role in maintaining normal post-endocytic trafficking through the ARF6-regulated, non-clathrin pathway (PubMed:19033387). During long-term potentiation in hippocampal neurons, AP-2 is responsible for the endocytosis of ADAM10 (PubMed:23676497). The AP-2 mu subunit binds to transmembrane cargo proteins; it recognizes the Y-X-X-Phi motifs (By similarity). The surface region interacting with to the Y-X-X-Phi motif is inaccessible in cytosolic AP-2, but becomes accessible through a conformational change following phosphorylation of AP-2 mu subunit at Thr-156 in membrane-associated AP-2 (PubMed:11877457). The membrane-specific phosphorylation event appears to involve assembled clathrin which activates the AP-2 mu kinase AAK1 (PubMed:11877457). Plays a role in endocytosis of frizzled family members upon Wnt signaling (By similarity)	Cell membrane
20	O95782	Component of the adaptor protein complex 2 (AP-2). Adaptor protein complexes function in protein transport via transport vesicles in different membrane traffic pathways. Adaptor protein complexes are vesicle coat components and appear to be involved in cargo selection and vesicle formation. AP-2 is involved in clathrin-dependent endocytosis in which cargo proteins are incorporated into vesicles surrounded by clathrin (clathrin-coated vesicles, CCVs) which are destined for fusion with the early endosome. The clathrin lattice serves as a mechanical scaffold but is itself unable to bind directly to membrane components. Clathrin-associated adaptor protein (AP) complexes which can bind directly to both the clathrin lattice and to the lipid and protein components of membranes are considered to be the major clathrin adaptors contributing the CCV formation. AP-2 also serves as a cargo receptor to selectively sort the membrane proteins involved in receptor-mediated endocytosis. AP-2 seems to play a role in the recycling of synaptic vesicle membranes from the presynaptic surface. AP-2 recognizes Y-X-X-[FILMV] (Y-X-X-Phi) and [ED]-X-X-X-L-[LI] endocytosis signal motifs within the cytosolic tails of transmembrane cargo molecules. AP-2 may also play a role in maintaining normal post-endocytic trafficking through the ARF6-regulated, non-clathrin pathway. During long-term potentiation in hippocampal neurons, AP-2 is responsible for the endocytosis of ADAM10 (PubMed:23676497). The AP-2 alpha subunit binds polyphosphoinositide-containing lipids, positioning AP-2 on the membrane. The AP-2 alpha subunit acts via its C-terminal appendage domain as a scaffolding platform for endocytic accessory proteins. The AP-2 alpha and AP-2 sigma subunits are thought to contribute to the recognition of the [ED]-X-X-X-L-[LI] motif (By similarity)	Cell membrane
21	P62834	Counteracts the mitogenic function of Ras, at least partly because it can interact with Ras GAPs and RAF in a competitive manner. Together with ITGB1BP1, regulates KRIT1 localization to microtubules and membranes (PubMed:17916086). Plays a role in nerve growth factor (NGF)-induced neurite outgrowth. Plays a role in the regulation of embryonic blood vessel formation. Involved in the establishment of basal endothelial barrier function. Facilitates the progressive accumulation of CDH1 at mature desmosome junctions via cAMP-dependent signaling and its interaction with PKP3 (PubMed:25208567). May be involved in the regulation of the vascular endothelial growth factor receptor KDR expression at endothelial cell-cell junctions	Cell membrane
22	Q9NW15	Does not exhibit calcium-activated chloride channel (CaCC) activity. Can inhibit the activity of ANO1	Cell membrane
23	P50281	Endopeptidase that degrades various components of the extracellular matrix such as collagen (PubMed:8015608). Essential for pericellular collagenolysis and modeling of skeletal and extraskeletal connective tissues during development (By similarity). Activates progelatinase A/MMP2, thereby acting as a positive regulator of cell growth and migration (PubMed:22065321, PubMed:8015608). Involved in the formation of the fibrovascular tissues in association with pro-MMP2 (PubMed:12714657, PubMed:22065321). May be involved in actin cytoskeleton reorganization by cleaving PTK7 (PubMed:20837484). Acts as a regulator of Notch signaling by mediating cleavage and inhibition of DLL1 (PubMed:21572390). Cleaves ADGRB1 to release vasculostatin-40 which inhibits angiogenesis (PubMed:22330140). Acts as a negative regulator of the GDF15-GFRAL aversive response by mediating cleavage and inactivation of GFRAL (PubMed:35177851)	Cell membrane
24	Q96PE1	Endothelial receptor which functions together with RECK to enable brain endothelial cells to selectively respond to Wnt7 signals (WNT7A or WNT7B) (PubMed:28289266, PubMed:30026314). Plays a key role in Wnt7-specific responses, such as endothelial cell sprouting and migration in the forebrain and neural tube, and establishment of the blood-brain barrier (By similarity). Acts as a Wnt7-specific coactivator of canonical Wnt signaling: required to deliver RECK-bound Wnt7 to frizzled by assembling a higher-order RECK-ADGRA2-Fzd-LRP5-LRP6 complex (PubMed:30026314). ADGRA2-tethering function does not rely on its G-protein coupled receptor (GPCR) structure but instead on its combined capacity to interact with RECK extracellularly and recruit the Dishevelled scaffolding protein intracellularly (PubMed:30026314). Binds to the glycosaminoglycans heparin, heparin sulfate, chondroitin sulfate and dermatan sulfate (PubMed:16982628)	Cell membrane
25	P11166	Facilitative glucose transporter, which is responsible for constitutive or basal glucose uptake (PubMed:10227690, PubMed:10954735, PubMed:18245775, PubMed:19449892, PubMed:25982116, PubMed:27078104, PubMed:32860739). Has a very broad substrate specificity; can transport a wide range of aldoses including both pentoses and hexoses (PubMed:18245775, PubMed:19449892). Most important energy carrier of the brain: present at the blood-brain barrier and assures the energy-independent, facilitative transport of glucose into the brain (PubMed:10227690). In association with BSG and NXNL1, promotes retinal cone survival by increasing glucose uptake into photoreceptors (By similarity). Required for mesendoderm differentiation (By similarity)	Cell membrane
26	P08962	Functions as a cell surface receptor for TIMP1 and plays a role in the activation of cellular signaling cascades. Plays a role in the activation of ITGB1 and integrin signaling, leading to the activation of AKT, FAK/PTK2 and MAP kinases. Promotes cell survival, reorganization of the actin cytoskeleton, cell adhesion, spreading and migration, via its role in the activation of AKT and FAK/PTK2. Plays a role in VEGFA signaling via its role in regulating the internalization of KDR/VEGFR2. Plays a role in intracellular vesicular transport processes, and is required for normal trafficking of the PMEL luminal domain that is essential for the development and maturation of melanocytes. Plays a role in the adhesion of leukocytes onto endothelial cells via its role in the regulation of SELP trafficking. May play a role in mast cell degranulation in response to Ms4a2/FceRI stimulation, but not in mast cell degranulation in response to other stimuli	Cell membrane
27	Q9Y4F1	Functions as a guanine nucleotide exchange factor for RAC1. May play a role in semaphorin signaling. Plays a role in the assembly and disassembly of dendritic filopodia, the formation of dendritic spines, regulation of dendrite length and ultimately the formation of synapses (By similarity)	Cell membrane
28	Q9NZH0	G-protein coupled receptor involved in the regulation of cell volume	Cell membrane
29	P17302	Gap junction protein that acts as a regulator of bladder capacity. A gap junction consists of a cluster of closely packed pairs of transmembrane channels, the connexons, through which materials of low MW diffuse from one cell to a neighboring cell. May play a critical role in the physiology of hearing by participating in the recycling of potassium to the cochlear endolymph. Negative regulator of bladder functional capacity: acts by enhancing intercellular electrical and chemical transmission, thus sensitizing bladder muscles to cholinergic neural stimuli and causing them to contract (By similarity). May play a role in cell growth inhibition through the regulation of NOV expression and localization. Plays an essential role in gap junction communication in the ventricles (By similarity)	Cell membrane
30	Q9UI14	General Rab protein regulator required for vesicle formation from the Golgi complex. May control vesicle docking and fusion by mediating the action of Rab GTPases to the SNARE complexes. In addition it inhibits the removal of Rab GTPases from the membrane by GDI	Cell membrane
31	P25116	High affinity receptor that binds the activated thrombin, leading to calcium release from intracellular stores (PubMed:1672265, PubMed:8136362). The thrombin-activated receptor signaling pathway is mediated through PTX-insensitive G proteins, activation of phospholipase C resulting in the production of 1D-myo-inositol 1,4,5-trisphosphate (InsP3) which binds to InsP3 receptors causing calcium release from the stores (By similarity). In astrocytes, the calcium released into the cytosol allows the Ca(2+)-dependent release of L-glutamate into the synaptic cleft through BEST1, that targets the neuronal postsynaptic GRIN2A/NMDAR receptor resulting in the synaptic plasticity regulation (By similarity). May play a role in platelets activation and in vascular development (PubMed:10079109). Mediates up-regulation of pro-inflammatory cytokines, such as MCP-1/CCL2 and IL6, triggered by coagulation factor Xa (F10) in cardiac fibroblasts and umbilical vein endothelial cells (PubMed:30568593, PubMed:34831181)	Cell membrane
32	Q6PIU2	Hydrolyzes 2-acetyl monoalkylglycerol ether (1-O-alkyl-2-acetyl-sn-glycerol), the penultimate precursor of the pathway for de novo synthesis of platelet-activating factor (PubMed:17052608). May be responsible for the hydrolysis of cholesterol esters (such as cholesteryl (9Z-octadecenoate)) in macrophages (By similarity). Also involved in organ detoxification by hydrolyzing exogenous organophosphorus compounds (By similarity). May contribute to cancer pathogenesis by promoting tumor cell migration (PubMed:17052608)	Cell membrane
