hostUniprotID	pathwayKeggID	pathwayName	pathwayCategory	pathwayDescription	pathwaySource
Q8TED1	path_hsa00250	Huntington disease - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	Huntington disease (HD) is an autosomal-dominant neurodegenerative disorder that primarily affects medium spiny striatal neurons (MSN). The symptoms are choreiform, involuntary movements, personality changes and dementia. HD is caused by a CAG repeat expansion in the IT15 gene, which results in a long stretch of polyglutamine (polyQ) close to the amino-terminus of the HD protein huntingtin (Htt). Mutant Htt (mHtt) has effects both in the cytoplasm and in the nucleus. Full-length huntingtin is cleaved by proteases in the cytoplasm, leading to the formation of cytoplasmic and neuritic aggregates. mHtt also alters vesicular transport and recycling, causes cytosolic and mitochondrial Ca2+  overload, triggers endoplasmic reticulum stress through proteasomal dysfunction, and impairs autophagy function, increasing neuronal death susceptibility. N-terminal fragments containing the polyQ strech translocate to the nucleus where they impair transcription and induce neuronal death.	https://www.kegg.jp/pathway/hsa05016
Q8TED1	path_hsa00250	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	Neurodegeneration is generally defined as progressive, irreversible loss of neurons, which may affect either the peripheral or central nervous system (CNS). Neurodegenerative diseases (NDs) include highly debilitating illnesses, such as Alzheimer (AD), Parkinson disease (PD), amyotrophic lateral sclerosis, Huntington disease, spinocerebellar ataxias, and prion diseases (PrD). The hallmark event, which is thought to be at the root of these diseases, is the progressive accumulation of misfolded protein aggregates. Major basic processes include abnormal protein dynamics due to deficiency of the ubiquitin-proteosome-autophagy system, oxidative stress and free radical formation, endoplasmic reticulum stress, mitochondrial dysfunction and (secondary) disruptions of axonal transport.	https://www.kegg.jp/pathway/hsa05022
P35080	path_hsa00330	Rap1 signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	Rap1 is a small GTPase that controls diverse processes, such as cell adhesion, cell-cell junction formation and cell polarity. Like all G proteins, Rap1 cycles between an inactive GDP-bound and an active GTP-bound conformation. A variety of extracellular signals control this cycle through the regulation of several unique guanine nucleotide exchange factors (GEFs) and GTPase activating proteins (GAPs). Rap1 plays a dominant role in the control of cell-cell and cell-matrix interactions by regulating the function of integrins and other adhesion molecules in various cell types. Rap1 also regulates MAP kinase (MAPK) activity in a manner highly dependent on the context of cell types.	https://www.kegg.jp/pathway/hsa04015
P35080	path_hsa00350	Amyotrophic lateral sclerosis - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disorder characterized by a progressive degeneration of motor neurons in the brain and spinal cord. In 90% of patients, ALS is sporadic, with no clear genetic linkage. On the other hand, the remaining 10% of cases show familial inheritance, with mutations in SOD1, TDP43(TARDBP), FUS, or C9orf72 genes being the most frequent causes. In spite of such difference, familial ALS and sporadic ALS have similarities in their pathological features. Proposed disease mechanisms contributing to motor neuron degeneration in ALS are: impaired proteostasis, aberrant RNA processing, mitochondrial disfunction and oxidative stress, microglia activation, and axonal dysfunction.	https://www.kegg.jp/pathway/hsa05014
P35080	path_hsa00380	Shigellosis - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	Shigellosis, or bacillary dysentery, is an intestinal infection caused by Shigella, a genus of enterobacteria. Shigella are potential food-borne pathogens that are capable of colonizing the intestinal epithelium by exploiting epithelial-cell functions and circumventing the host innate immune response. During basolateral entry into the host-cell cytoplasm, Shigella deliver a subset of effectors into the host cells through the type III secretion system. The effectors induce membrane ruffling through the stimulation of the Rac1-WAVE-Arp2/3 pathway, enabling bacterial entry into the epithelial cells. During multiplication within the cells, Shigella secrete another subset of effectors. VirG induces actin polymerization at one pole of the bacteria, allowing the bacteria to spread intracellularly and to infect adjacent cells. OspF, OspG and IpaH(9.8) downregulate the production of proinflammatory cytokines such as IL-8, helping bacteria circumvent the innate immune response.	https://www.kegg.jp/pathway/hsa05131
P35080	path_hsa00430	Salmonella infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	Salmonella infection usually presents as a self-limiting gastroenteritis or the more severe typhoid fever and bacteremia. The common disease-causing Salmonella species in human is a single species, Salmonella enterica, which has numerous serovars.	https://www.kegg.jp/pathway/hsa05132
O75688	path_hsa00440	MAPK signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	The mitogen-activated protein kinase (MAPK) cascade is a highly conserved module that is involved in various cellular functions, including cell proliferation, differentiation and migration. Mammals express at least four distinctly regulated groups of MAPKs, extracellular signal-related kinases (ERK)-1/2, Jun amino-terminal kinases (JNK1/2/3), p38 proteins (p38alpha/beta/gamma/delta) and ERK5, that are activated by specific MAPKKs: MEK1/2 for ERK1/2, MKK3/6 for the p38, MKK4/7 (JNKK1/2) for the JNKs, and MEK5 for ERK5. Each MAPKK, however, can be activated by more than one MAPKKK, increasing the complexity and diversity of MAPK signalling. Presumably each MAPKKK confers responsiveness to distinct stimuli. For example, activation of ERK1/2 by growth factors depends on the MAPKKK c-Raf, but other MAPKKKs may activate ERK1/2 in response to pro-inflammatory stimuli.	https://www.kegg.jp/pathway/hsa04010
P12236	path_hsa00480	Calcium signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	Ca2+ that enters the cell from the outside is a principal source of signal Ca2+. Entry of Ca2+ is driven by the presence of a large electrochemical gradient across the plasma membrane. Cells use this external source of signal Ca2+ by activating various entry channels with widely different properties. The voltage-operated channels (VOCs) are found in excitable cells and generate the rapid Ca2+ fluxes that control fast cellular processes. There are many other Ca2+-entry channels, such as the receptor-operated channels (ROCs), for example the NMDA (N-methyl-D-aspartate) receptors (NMDARs) that respond to glutamate. There also are second-messenger-operated channels (SMOCs) and store-operated channels (SOCs).	https://www.kegg.jp/pathway/hsa04020
P12236	path_hsa00480	cGMP-PKG signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	Cyclic GMP (cGMP) is the intracellular second messenger that mediates the action of nitric oxide (NO) and natriuretic peptides (NPs), regulating a broad array of physiologic processes. The elevated intracellular cGMP level exerts its physiological action through two forms of cGMP-dependent protein kinase (PKG), cGMP-regulated phosphodiesterases (PDE2, PDE3) and cGMP-gated cation channels, among which PKGs might be the primary mediator. PKG1 isoform-specific activation of established substrates leads to reduction of cytosolic calcium concentration and/or decrease in the sensitivity of myofilaments to Ca2+ (Ca2+-desensitization), resulting in smooth muscle relaxation. In cardiac myocyte, PKG directly phosphorylates a member of the transient potential receptor canonical channel family, TRPC6, suppressing this nonselective ion channel's Ca2+ conductance, G-alpha-q agonist-induced NFAT activation, and myocyte hypertrophic responses. PKG also opens mitochondrial ATP-sensitive K+ (mitoKATP) channels and subsequent release of ROS triggers cardioprotection.	https://www.kegg.jp/pathway/hsa04022
P12236	path_hsa00510	Alzheimer disease - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	Alzheimer disease (AD) is a chronic disorder that slowly destroys neurons and causes serious cognitive disability. AD is associated with senile plaques and neurofibrillary tangles (NFTs). Amyloid-beta (Abeta), a major component of senile plaques, has various pathological effects on cell and organelle function. To date genetic studies have revealed four genes that may be linked to autosomal dominant or familial early onset AD (FAD). These four genes include: amyloid precursor protein (APP), presenilin 1 (PS1), presenilin 2 (PS2) and apolipoprotein E (ApoE). All mutations associated with APP and PS proteins can lead to an increase in the production of Abeta peptides, specfically the more amyloidogenic form, Abeta42. It was proposed that Abeta form Ca2+ permeable pores and bind to and modulate multiple synaptic proteins, including NMDAR, mGluR5 and VGCC, leading to the overfilling of neurons with calcium ions. Consequently, cellular Ca2+ disruptions will lead to neuronal apoptosis, autophagy deficits, mitochondrial abnormality, defective neurotransmission, impaired synaptic plasticity and neurodegeneration in AD. FAD-linked PS1 mutation downregulates the unfolded protein response and leads to vulnerability to ER stress.	https://www.kegg.jp/pathway/hsa05010
P12236	path_hsa00510	Cellular senescence - Homo sapiens (human)	Cellular Processes; Cell growth and death	Cellular senescence is a state of irreversible cellular arrest and can be triggered by a number of factors, such as telomere shortening, oncogene activation, irradiation, DNA damage and oxidative stress. It is characterized by enlarged flattened morphology, senescence-associated beta-galactosidase (SA-b-gal) activity, secretion of inflammatory cytokines, growth factors and matrix metalloproteinases, as part of the senescence-associated secretory phenotype (SASP). Cellular senescence is functionally associated with many biological processes including aging, tumor suppression, placental biology, embryonic development, and wound healing.	https://www.kegg.jp/pathway/hsa04218
P12236	path_hsa00510	Huntington disease - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	Huntington disease (HD) is an autosomal-dominant neurodegenerative disorder that primarily affects medium spiny striatal neurons (MSN). The symptoms are choreiform, involuntary movements, personality changes and dementia. HD is caused by a CAG repeat expansion in the IT15 gene, which results in a long stretch of polyglutamine (polyQ) close to the amino-terminus of the HD protein huntingtin (Htt). Mutant Htt (mHtt) has effects both in the cytoplasm and in the nucleus. Full-length huntingtin is cleaved by proteases in the cytoplasm, leading to the formation of cytoplasmic and neuritic aggregates. mHtt also alters vesicular transport and recycling, causes cytosolic and mitochondrial Ca2+  overload, triggers endoplasmic reticulum stress through proteasomal dysfunction, and impairs autophagy function, increasing neuronal death susceptibility. N-terminal fragments containing the polyQ strech translocate to the nucleus where they impair transcription and induce neuronal death.	https://www.kegg.jp/pathway/hsa05016
P12236	path_hsa00510	Necroptosis - Homo sapiens (human)	Cellular Processes; Cell growth and death	Necroptosis is a programmed form of necrosis. It can be initiated by different stimuli, such as tumor necrosis factor (TNF), TNF-related apoptosis-inducing ligand (TRAIL), Fas ligand (FasL), interferon (IFN), LPS, viral DNA or RNA, DNA-damage agent and requires the kinase activity of receptor-interacting protein 1 (RIPK1) and RIPK3. Its execution involves ROS generation, calcium overload, the opening of the mitochondrial permeability transition pore, mitochondrial fission, inflammatory response and chromatinolysis. Necroptosis participates in many pathogenesis of diseases, including neurological diseases, retinal disorders, acute kidney injury, inflammatory diseases and microbial infections.	https://www.kegg.jp/pathway/hsa04217
P12236	path_hsa00510	Neutrophil extracellular trap formation - Homo sapiens (human)	Organismal Systems; Immune system	"Neutrophils play a central role in innate immune defense. One of the mechanisms of neutrophil action is the formation of neutrophil extracellular traps (NETs), the extracellular structures composed of chromatin coated with histones, proteases and granular and cytosolic proteins that help catch and kill microorganisms. NETs are formed by a process known as ""NETosis"" that can be triggered by microorganisms and endogenous stimuli, such as damage-associated molecular patterns and immune complexes, and involves activation in most cases of nicotinamide adenine dinucleotide phosphate (NADPH)-oxidase, which produces reactive oxygen species (ROS). Recent study has reported that there are two different mechanisms of NETosis, including a lytic NETosis and a vital NETosis. Lytic NETosis begins with nuclear delobulation and the disassembly of the nuclear envelope and continues with loss of cellular polarization, chromatin decondensation and plasma membrane rupture. Vital NETosis can occur independently of cell death and involves the secreted expulsion of nuclear chromatin that is accompanied by the release of granule proteins through degranulation."	https://www.kegg.jp/pathway/hsa04613
P12236	path_hsa00510	Parkinson disease - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	Parkinson disease (PD) is a progressive neurodegenerative movement disorder that results primarily from the death of dopaminergic (DA) neurons in the substantia nigra pars compacta (SNc). Both environmental factors and mutations in familial PD-linked genes such as SNCA, Parkin, DJ-1, PINK1 and LRRK2 are associated with PD pathogenesis. These pathogenic mutations and environmental factors are known to cause disease due to oxidative stress, intracellular Ca2+ homeostasis impairment, mitochondrial dysfunctions and altered protein handling compromising key roles of DA neuronal function and survival. The demise of DA neurons located in the SNc leads to a drop in the dopaminergic input to the striatum, which is hypothesized to impede movement by inducing hypo and hyper activity in striatal spiny projection neurons (SPNs) of the direct (dSPNs) and indirect (iSPNs) pathways in the basal ganglia, respectively.	https://www.kegg.jp/pathway/hsa05012
P12236	path_hsa00510	Prion disease - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	Prion diseases, also termed transmissible spongiform encephalopathies (TSEs), are a group of fatal neurodegenerative diseases that affect humans and a number of other animal species. The etiology of these diseases is thought to be associated with the conversion of a normal protein, PrPC, into an infectious, pathogenic form, PrPSc. The conversion is induced by prion infections (for example, variant Creutzfeldt-Jakob disease (vCJD), iatrogenic CJD, Kuru), mutations (familial CJD, Gerstmann-Straussler-Scheinker syndrome, fatal familial insomnia (FFI)) or unknown factors (sporadic CJD (sCJD)), and is thought to occur after PrPC has reached the plasma membrane or is re-internalized for degradation. The PrPSc form shows greater protease resistance than PrPC and accumulates in affected individuals, often in the form of extracellular plaques. Pathways that may lead to neuronal death comprise oxidative stress, regulated activation of complement, ubiquitin-proteasome and endosomal-lysosomal systems, synaptic alterations and dendritic atrophy, corticosteroid response, and endoplasmic reticulum stress. In addition, the conformational transition could lead to the lost of a beneficial activity of the natively folded protein, PrPC.	https://www.kegg.jp/pathway/hsa05020
P12236	path_hsa00510	Spinocerebellar ataxia - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	The autosomal dominant spinocerebellar ataxias (SCAs) are a group of progressive neurodegenerative diseases characterised by loss of balance and motor coordination due to the primary dysfunction of the cerebellum. Compelling evidence points to major aetiological roles for transcriptional dysregulation, protein aggregation and clearance, autophagy, the ubiquitin-proteasome system, alterations of calcium homeostasis, mitochondria defects, toxic RNA gain-of-function mechanisms and eventual cell death with apoptotic features of neurons during SCA disease progression.	https://www.kegg.jp/pathway/hsa05017
P12236	path_hsa00512	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	Neurodegeneration is generally defined as progressive, irreversible loss of neurons, which may affect either the peripheral or central nervous system (CNS). Neurodegenerative diseases (NDs) include highly debilitating illnesses, such as Alzheimer (AD), Parkinson disease (PD), amyotrophic lateral sclerosis, Huntington disease, spinocerebellar ataxias, and prion diseases (PrD). The hallmark event, which is thought to be at the root of these diseases, is the progressive accumulation of misfolded protein aggregates. Major basic processes include abnormal protein dynamics due to deficiency of the ubiquitin-proteosome-autophagy system, oxidative stress and free radical formation, endoplasmic reticulum stress, mitochondrial dysfunction and (secondary) disruptions of axonal transport.	https://www.kegg.jp/pathway/hsa05022
P12236	path_hsa00513	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	Human Diseases; Cancer: overview	It is well established that cancer is a multi-step process which involves initiation, promotion and progression. Chemical carcinogens can alter any of these processes to induce their carcinogenic effects. In the majority of instances, chemical carcinogens, directly or after xenobiotic metabolism, induce DNA damage and act in a 'genotoxic' manner. There is, however, a group of carcinogens that induce cancer via nongenotoxic mechanisms. The biochemical modes of action for nongenotoxic carcinogens are diverse, one example of which is induction of oxidative stress. Trace metals and organic xenobiotics are typical classes of environmental pollutants with prooxidant effects. Trace metals generate reactive oxygen species (ROS) depending on their ability to lose electrons and catalyze Haber Weiss and Fenton reactions. ROS are also generated due to induction of various cytochrome P450 isoenzymes during detoxification of chemical carcinogens. Increased ROS generation often has been linked to DNA damage that can lead to mutations and may, therefore, play an important role in the initiation and progression of multistage carcinogenesis. Besides causing DNA damage, ROS further induce multiple intracellular signaling pathways, notably NF-kappa B, JNK/SAPK/p38, as well as Erk/MAPK. These signaling routes can lead to transcriptional induction of target genes that could promote proliferation or confer apoptosis resistance to exposed cells.	https://www.kegg.jp/pathway/hsa05208
P12236	path_hsa00513	Diabetic cardiomyopathy - Homo sapiens (human)	Human Diseases; Cardiovascular disease	Diabetic cardiomyopathy has been defined as left ventricular dysfunction that occurs among patients with diabetes mellitus independent of a recognized cause such as coronary artery disease or hypertension. The pathogenesis of diabetic cardiomyopathy broadly involves hyperglycemia, increased circulating fatty acids, and insulin resistance contributing to reactive oxygen species (ROS) generation, mitochondrial dysfunction, impaired calcium metabolism, Renin-Angiotensin System (RAS) activation, and altered substrate metabolism. These effects result in cardiac fibrosis, hypertrophy, cardiomyocyte death, contractile dysfunction, endothelial cell damage and eventually heart failure. In the process of cardiac fibrosis, cardiac fibroblasts are the final effector cell.	https://www.kegg.jp/pathway/hsa05415
P12236	path_hsa00513	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	Human T-cell leukemia virus type 1 (HTLV-1) is a pathogenic retrovirus that is associated with adult T-cell leukemia/lymphoma (ATL). It is also strongly implicated in non-neoplastic chronic inflammatory diseases such as HTLV-1-associated myelopathy/tropical spastic paraparesis (HAM/TSP). Expression of Tax, a viral regulatory protein is critical to the pathogenesis. Tax is a transcriptional co-factor that interfere several signaling pathways related to anti-apoptosis or cell proliferation. The modulation of the signaling by Tax involve its binding to transcription factors like CREB/ATF, NF-kappa B, and SRF.	https://www.kegg.jp/pathway/hsa05166
P12236	path_hsa00513	Influenza A - Homo sapiens (human)	Human Diseases; Infectious disease: viral	Influenza is a contagious respiratory disease caused by influenza virus infection. Influenza A virus is responsible for both annual seasonal epidemics and periodic worldwide pandemics. Novel strains that cause pandemics arise from avian influenza virus by genetic reassortment among influenza viruses and two surface glycoproteins HA and NA form the basis of serologically distinct virus types. The innate immune system recognizes invaded virus through multiple mechanisms. Viral non-structural NS1 protein is a multifunctional virulence factor that interfere IFN-mediated antiviral response. It inhibits IFN production by blocking activation of transcription factors such as NF-kappa B and IRF3. NS1 further inhibits the activation of IFN-induced antiviral genes. PB1-F2 protein is another virulence factor that induce apoptosis of infected cells, which results in life-threatening bronchiolitis.	https://www.kegg.jp/pathway/hsa05164
P47756	path_hsa00562	Endocytosis - Homo sapiens (human)	Cellular Processes; Transport and catabolism	Endocytosis is a mechanism for cells to remove ligands, nutrients, and plasma membrane (PM) proteins, and lipids from the cell surface, bringing them into the cell interior. Transmembrane proteins entering through clathrin-dependent endocytosis (CDE) have sequences in their cytoplasmic domains that bind to the APs (adaptor-related protein complexes) and enable their rapid removal from the PM. In addition to APs and clathrin, there are numerous accessory proteins including dynamin. Depending on the various proteins that enter the endosome membrane, these cargoes are sorted to distinct destinations. Some cargoes, such as nutrient receptors, are recycled back to the PM. Ubiquitylated membrane proteins, such as activated growth-factor receptors, are sorted into intraluminal vesicles and eventually end up in the lysosome lumen via multivesicular endosomes (MVEs). There are distinct mechanisms of clathrin-independent endocytosis (CIE) depending upon the cargo and the cell type.	https://www.kegg.jp/pathway/hsa04144
O00483	path_hsa00563	Non-alcoholic fatty liver disease - Homo sapiens (human)	Human Diseases; Endocrine and metabolic disease	Non-alcoholic fatty liver disease (NAFLD) represents a spectrum ranging from simple steatosis to more severe steatohepatitis with hepatic inflammation and fibrosis, known as nonalcoholic steatohepatitis (NASH). NASH may further lead to cirrhosis and hepatocellular carcinoma (HCC). This map shows a stage-dependent progression of NAFLD. In the first stage of NAFLD, excess lipid accumulation has been demonstrated. The main cause is the induction of insulin resistance, which leads to a defect in insulin suppression of free fatty acids (FAAs) disposal. In addition, two transcription factors, SREBP-1c and PPAR-alpha, activate key enzymes of lipogenesis and increase the synthesis of FAAs in liver. In the second stage, as a consequence of the progression to NASH, the production of reactive oxygen species (ROS) is enhanced due to oxidation stress through mitochondrial beta-oxidation of fatty acids and endoplamic reticulum (ER) stress, leading to lipid peroxidation. The lipid peroxidation can further cause the production of cytokines (Fas ligand, TNF-alpha, IL-8 and TGF), promoting cell death, inflammation and fibrosis. The activation of JNK, which is induced by ER stress, TNF-alpha and FAAs, is also associated with NAFLD progression. Increased JNK promotes cytokine production and initiation of HCC.	https://www.kegg.jp/pathway/hsa04932
