# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P29846	uniprotkb:P29846	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)|MINT:NS3(author assigned name)	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)|MINT:NS3(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Pan RY. et al.(2010)	intact:EBI-7640932|mint:d-09-01943|doi:10.1016/j.febslet.2009.11.090|mint:MINT-7306462|mint:MINT-7306460|pubmed:19958771|imex:IM-15565	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7640950|mint:MINT-7306465|imex:IM-15565-1	intact-miscore:0.4
uniprotkb:Q9WMX2	intact:EBI-6147672	intact:EBI-710918|uniprotkb:Q9WMX2	-	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)|IntAct:core(author assigned name)	psi-mi:p0c7m2_human(display_short)|IntAct:P0C7M2_HUMAN(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Pichlmair A et al.(2012)	intact:EBI-6137868|pubmed:22810585|imex:IM-17331	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6154835|imex:IM-17331-4	intact-miscore:0.35
uniprotkb:Q9P0L0	uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9UBZ2|uniprotkb:O75453|uniprotkb:Q5U0E7|intact:EBI-2556404|uniprotkb:A6NDZ0|intact:EBI-2512000|uniprotkb:D3DUI3|ensembl:ENSP00000382880.3|intact:EBI-1059156|uniprotkb:Q9P0L0	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	psi-mi:vapa_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein A(display_long)|uniprotkb:VAPA(gene name)|uniprotkb:33 kDa VAMP-associated protein(gene name synonym)|uniprotkb:VAP33(gene name synonym)	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738328|imex:IM-25733-6	intact-miscore:0.54
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9P0L0	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9UBZ2|uniprotkb:O75453|uniprotkb:Q5U0E7|intact:EBI-2556404|uniprotkb:A6NDZ0|intact:EBI-2512000|uniprotkb:D3DUI3|ensembl:ENSP00000382880.3|intact:EBI-1059156|uniprotkb:Q9P0L0	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:vapa_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein A(display_long)|uniprotkb:VAPA(gene name)|uniprotkb:33 kDa VAMP-associated protein(gene name synonym)|uniprotkb:VAP33(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738339|imex:IM-25733-7	intact-miscore:0.54
uniprotkb:Q9P0L0	uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9UBZ2|uniprotkb:O75453|uniprotkb:Q5U0E7|intact:EBI-2556404|uniprotkb:A6NDZ0|intact:EBI-2512000|uniprotkb:D3DUI3|ensembl:ENSP00000382880.3|intact:EBI-1059156|uniprotkb:Q9P0L0	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	psi-mi:vapa_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein A(display_long)|uniprotkb:VAPA(gene name)|uniprotkb:33 kDa VAMP-associated protein(gene name synonym)|uniprotkb:VAP33(gene name synonym)	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738350|imex:IM-25733-8	intact-miscore:0.54
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9P0L0	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9UBZ2|uniprotkb:O75453|uniprotkb:Q5U0E7|intact:EBI-2556404|uniprotkb:A6NDZ0|intact:EBI-2512000|uniprotkb:D3DUI3|ensembl:ENSP00000382880.3|intact:EBI-1059156|uniprotkb:Q9P0L0	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:vapa_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein A(display_long)|uniprotkb:VAPA(gene name)|uniprotkb:33 kDa VAMP-associated protein(gene name synonym)|uniprotkb:VAP33(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738366|imex:IM-25733-9	intact-miscore:0.54
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9P0L0	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9UBZ2|uniprotkb:O75453|uniprotkb:Q5U0E7|intact:EBI-2556404|uniprotkb:A6NDZ0|intact:EBI-2512000|uniprotkb:D3DUI3|ensembl:ENSP00000382880.3|intact:EBI-1059156|uniprotkb:Q9P0L0	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:vapa_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein A(display_long)|uniprotkb:VAPA(gene name)|uniprotkb:33 kDa VAMP-associated protein(gene name synonym)|uniprotkb:VAP33(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738393|imex:IM-25733-10	intact-miscore:0.54
uniprotkb:Q9P0L0	uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9UBZ2|uniprotkb:O75453|uniprotkb:Q5U0E7|intact:EBI-2556404|uniprotkb:A6NDZ0|intact:EBI-2512000|uniprotkb:D3DUI3|ensembl:ENSP00000382880.3|intact:EBI-1059156|uniprotkb:Q9P0L0	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	psi-mi:vapa_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein A(display_long)|uniprotkb:VAPA(gene name)|uniprotkb:33 kDa VAMP-associated protein(gene name synonym)|uniprotkb:VAP33(gene name synonym)	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738403|imex:IM-25733-11	intact-miscore:0.54
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9P0L0	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9UBZ2|uniprotkb:O75453|uniprotkb:Q5U0E7|intact:EBI-2556404|uniprotkb:A6NDZ0|intact:EBI-2512000|uniprotkb:D3DUI3|ensembl:ENSP00000382880.3|intact:EBI-1059156|uniprotkb:Q9P0L0	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:vapa_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein A(display_long)|uniprotkb:VAPA(gene name)|uniprotkb:33 kDa VAMP-associated protein(gene name synonym)|uniprotkb:VAP33(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738417|imex:IM-25733-12	intact-miscore:0.54
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9P0L0	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9UBZ2|uniprotkb:O75453|uniprotkb:Q5U0E7|intact:EBI-2556404|uniprotkb:A6NDZ0|intact:EBI-2512000|uniprotkb:D3DUI3|ensembl:ENSP00000382880.3|intact:EBI-1059156|uniprotkb:Q9P0L0	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:vapa_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein A(display_long)|uniprotkb:VAPA(gene name)|uniprotkb:33 kDa VAMP-associated protein(gene name synonym)|uniprotkb:VAP33(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738432|imex:IM-25733-13	intact-miscore:0.54
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9P0L0	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9UBZ2|uniprotkb:O75453|uniprotkb:Q5U0E7|intact:EBI-2556404|uniprotkb:A6NDZ0|intact:EBI-2512000|uniprotkb:D3DUI3|ensembl:ENSP00000382880.3|intact:EBI-1059156|uniprotkb:Q9P0L0	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:vapa_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein A(display_long)|uniprotkb:VAPA(gene name)|uniprotkb:33 kDa VAMP-associated protein(gene name synonym)|uniprotkb:VAP33(gene name synonym)	psi-mi:"MI:0663"(confocal microscopy)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738452|imex:IM-25733-14	intact-miscore:0.54
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9P0L0	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q9UBZ2|uniprotkb:O75453|uniprotkb:Q5U0E7|intact:EBI-2556404|uniprotkb:A6NDZ0|intact:EBI-2512000|uniprotkb:D3DUI3|ensembl:ENSP00000382880.3|intact:EBI-1059156|uniprotkb:Q9P0L0	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:vapa_human(display_short)|psi-mi:Vesicle-associated membrane protein-associated protein A(display_long)|uniprotkb:VAPA(gene name)|uniprotkb:33 kDa VAMP-associated protein(gene name synonym)|uniprotkb:VAP33(gene name synonym)	psi-mi:"MI:0663"(confocal microscopy)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738470|imex:IM-25733-15	intact-miscore:0.54
